State,per_senior
Maine,0.206
Florida,0.205
West Virginia,0.199
Vermont,0.194
Montana,0.187
Delaware,0.187
Hawaii,0.184
Pennsylvania,0.182
New Hampshire,0.181
South Carolina,0.177
Oregon,0.176
New Mexico,0.175
Arizona,0.175
Michigan,0.172
Connecticut,0.172
Rhode Island,0.172
Ohio,0.171
Iowa,0.171
Arkansas,0.17
Wisconsin,0.17
Missouri,0.169
Alabama,0.169
South Dakota,0.166
Massachusetts,0.165
Wyoming,0.165
Tennessee,0.164
New York,0.164
Kentucky,0.164
North Carolina,0.163
New Jersey,0.161
United States,0.16
Minnesota,0.159
Idaho,0.159
Mississippi,0.159
Kansas,0.159
Indiana,0.158
Nebraska,0.157
Oklahoma,0.157
Nevada,0.157
Illinois,0.156
Louisiana,0.154
Maryland,0.154
Virginia,0.154
Washington,0.154
North Dakota,0.153
California,0.143
Colorado,0.142
Georgia,0.139
Texas,0.126
District of Columbia,0.121
Alaska,0.118
Utah,0.111
